# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
158	561.07	3.51	1	3686400	100.00
159	564.38	3.31	1	3686400	100.00
160	567.75	3.37	1	3686400	100.00
161	571.00	3.25	1	3686400	100.00
162	574.33	3.33	1	3686400	100.00
163	577.57	3.24	1	3686400	100.00
164	581.04	3.47	1	3686400	100.00
165	584.31	3.27	1	3686400	100.00
166	587.70	3.39	1	3686400	100.00
167	591.18	3.48	1	3686400	100.00
168	594.46	3.28	1	3686400	100.00
169	597.71	3.25	1	3686400	100.00
170	601.18	3.47	1	3686400	100.00
171	604.35	3.17	1	3686400	100.00
172	607.79	3.44	1	3686400	100.00
173	611.05	3.25	1	3686400	100.00
174	614.45	3.40	1	3686400	100.00
175	617.55	3.10	1	3686400	100.00
176	621.14	3.59	1	3686400	100.00
177	624.38	3.24	1	3686400	100.00
178	627.72	3.34	1	3686400	100.00
179	631.08	3.36	1	3686400	100.00
180	634.55	3.47	1	3686400	100.00
181	637.59	3.04	1	3686400	100.00
182	641.11	3.52	1	3686400	100.00
183	644.37	3.27	1	3686400	100.00
184	647.71	3.34	1	3686400	100.00
185	650.99	3.28	1	3686400	100.00
186	654.47	3.48	1	3686400	100.00
187	657.52	3.06	1	3686400	100.00
188	661.03	3.51	1	3686400	100.00
189	664.56	3.52	1	3686400	100.00
190	712.83	48.28	1	3686400	100.00
191	843.28	130.44	1	3686400	100.00
192	847.80	4.53	1	3686400	100.00
193	913.94	66.14	1	3686400	100.00
194	955.78	41.84	1	3686400	100.00
195	958.26	2.48	1	3686400	100.00
196	961.22	2.95	1	3686400	100.00
197	964.40	3.18	1	3686400	100.00
198	967.76	3.37	1	3686400	100.00
199	971.29	3.53	1	3686400	100.00
200	974.23	2.94	1	3686400	100.00
201	977.80	3.56	1	3686400	100.00
202	981.06	3.27	1	3686400	100.00
203	984.47	3.41	1	3686400	100.00
204	987.66	3.19	1	3686400	100.00
205	990.99	3.33	1	3686400	100.00
206	994.20	3.21	1	3686400	100.00
207	997.95	3.76	1	3686400	100.00
208	1001.16	3.20	1	3686400	100.00
209	1005.69	4.54	1	3686400	100.00
210	1007.88	2.19	1	3686400	100.00
211	1011.19	3.31	1	3686400	100.00
212	1014.21	3.02	1	3686400	100.00
213	1017.76	3.55	1	3686400	100.00
214	1020.97	3.21	1	3686400	100.00
215	1024.58	3.61	1	3686400	100.00
216	1027.93	3.34	1	3686400	100.00
217	1031.01	3.08	1	3686400	100.00
218	1034.23	3.22	1	3686400	100.00
219	1058.27	24.04	1	3686400	100.00
220	1060.85	2.58	1	3686400	100.00
221	1064.47	3.62	1	3686400	100.00
222	1067.92	3.45	1	3686400	100.00
223	1071.15	3.24	1	3686400	100.00
224	1074.41	3.25	1	3686400	100.00
225	1077.77	3.36	1	3686400	100.00
226	1081.07	3.30	1	3686400	100.00
227	1084.53	3.46	1	3686400	100.00
228	1087.60	3.07	1	3686400	100.00
229	1091.17	3.57	1	3686400	100.00
230	1094.53	3.36	1	3686400	100.00
231	1097.69	3.16	1	3686400	100.00
232	1101.00	3.31	1	3686400	100.00
233	1104.41	3.41	1	3686400	100.00
234	1107.75	3.34	1	3686400	100.00
235	1111.16	3.40	1	3686400	100.00
236	1114.43	3.27	1	3686400	100.00
237	1117.66	3.23	1	3686400	100.00
238	1121.17	3.50	1	3686400	100.00
239	1124.42	3.25	1	3686400	100.00
240	1127.56	3.14	1	3686400	100.00
241	1131.22	3.67	1	3686400	100.00
242	1134.30	3.08	1	3686400	100.00
243	1137.68	3.38	1	3686400	100.00
244	1141.17	3.49	1	3686400	100.00
245	1144.54	3.37	1	3686400	100.00
246	1147.63	3.09	1	3686400	100.00
247	1151.00	3.36	1	3686400	100.00
248	1154.48	3.49	1	3686400	100.00
249	1178.30	23.82	1	3686400	100.00
250	1181.16	2.86	1	3686400	100.00
251	1184.49	3.33	1	3686400	100.00
252	1253.60	69.12	1	3686400	100.00
253	1427.24	173.64	1	3686400	100.00
254	1434.38	7.14	1	3686400	100.00
255	1437.93	3.55	1	3686400	100.00
256	1440.95	3.02	1	3686400	100.00
257	1444.46	3.52	1	3686400	100.00
258	1447.77	3.31	1	3686400	100.00
259	1451.16	3.38	1	3686400	100.00
260	1454.24	3.08	1	3686400	100.00
261	1457.85	3.61	1	3686400	100.00
262	1460.89	3.04	1	3686400	100.00
263	1464.32	3.44	1	3686400	100.00
264	1467.73	3.41	1	3686400	100.00
265	1471.03	3.30	1	3686400	100.00
266	1474.28	3.25	1	3686400	100.00
267	1477.84	3.56	1	3686400	100.00
268	1481.06	3.22	1	3686400	100.00
269	1484.35	3.29	1	3686400	100.00
270	1487.70	3.35	1	3686400	100.00
271	1491.15	3.45	1	3686400	100.00
272	1494.22	3.08	1	3686400	100.00
273	1497.76	3.53	1	3686400	100.00
274	1501.06	3.30	1	3686400	100.00
275	1504.41	3.35	1	3686400	100.00
276	1507.69	3.28	1	3686400	100.00
277	1511.16	3.46	1	3686400	100.00
278	1514.21	3.05	1	3686400	100.00
279	1517.75	3.54	1	3686400	100.00
280	1521.08	3.33	1	3686400	100.00
281	1524.40	3.33	1	3686400	100.00
282	1527.73	3.33	1	3686400	100.00
283	1531.22	3.48	1	3686400	100.00
284	1534.36	3.15	1	3686400	100.00
285	1537.76	3.40	1	3686400	100.00
286	1541.09	3.33	1	3686400	100.00
287	1544.34	3.25	1	3686400	100.00
288	1547.67	3.33	1	3686400	100.00
289	1551.15	3.48	1	3686400	100.00
290	1554.21	3.06	1	3686400	100.00
291	1557.69	3.48	1	3686400	100.00
292	1562.82	5.13	1	3686400	100.00
293	1567.72	4.91	1	3686400	100.00
294	1571.11	3.38	1	3686400	100.00
295	1574.35	3.24	1	3686400	100.00
296	1577.53	3.18	1	3686400	100.00
297	1581.14	3.61	1	3686400	100.00
298	1584.20	3.07	1	3686400	100.00
299	1587.65	3.45	1	3686400	100.00
300	1591.02	3.37	1	3686400	100.00
301	1594.46	3.44	1	3686400	100.00
302	1597.54	3.08	1	3686400	100.00
303	1601.15	3.61	1	3686400	100.00
304	1604.22	3.06	1	3686400	100.00
305	1607.64	3.43	1	3686400	100.00
306	1611.03	3.39	1	3686400	100.00
307	1614.49	3.45	1	3686400	100.00
308	1617.54	3.06	1	3686400	100.00
309	1621.11	3.57	1	3686400	100.00
310	1624.39	3.27	1	3686400	100.00
311	1627.65	3.26	1	3686400	100.00
312	1631.11	3.46	1	3686400	100.00
313	1634.48	3.37	1	3686400	100.00
314	1637.57	3.09	1	3686400	100.00
315	1641.17	3.59	1	3686400	100.00
316	1644.44	3.28	1	3686400	100.00
317	1647.69	3.25	1	3686400	100.00
318	1651.03	3.34	1	3686400	100.00
319	1654.54	3.51	1	3686400	100.00
320	1657.54	3.00	1	3686400	100.00
321	1661.12	3.58	1	3686400	100.00
322	1664.36	3.24	1	3686400	100.00
323	1667.66	3.29	1	3686400	100.00
324	1671.02	3.36	1	3686400	100.00
325	1674.47	3.45	1	3686400	100.00
326	1677.52	3.05	1	3686400	100.00
327	1681.07	3.55	1	3686400	100.00
328	1684.40	3.32	1	3686400	100.00
329	1687.66	3.26	1	3686400	100.00
330	1690.99	3.33	1	3686400	100.00
331	1694.50	3.50	1	3686400	100.00
332	1697.54	3.05	1	3686400	100.00
333	1701.08	3.53	1	3686400	100.00
334	1704.38	3.31	1	3686400	100.00
335	1707.65	3.27	1	3686400	100.00
336	1711.08	3.42	1	3686400	100.00
337	1714.38	3.30	1	3686400	100.00
338	1717.57	3.20	1	3686400	100.00
339	1721.00	3.43	1	3686400	100.00
340	1724.38	3.38	1	3686400	100.00
341	1727.64	3.26	1	3686400	100.00
342	1730.86	3.23	1	3686400	100.00
343	1734.46	3.60	1	3686400	100.00
344	1737.51	3.05	1	3686400	100.00
345	1740.98	3.46	1	3686400	100.00
346	1744.22	3.25	1	3686400	100.00
347	1763.52	19.30	1	3686400	100.00
348	1767.76	4.24	1	3686400	100.00
349	1771.03	3.27	1	3686400	100.00
350	1774.46	3.42	1	3686400	100.00
351	1777.65	3.19	1	3686400	100.00
352	1781.07	3.42	1	3686400	100.00
353	1784.24	3.18	1	3686400	100.00
354	1787.69	3.45	1	3686400	100.00
355	1790.92	3.23	1	3686400	100.00
356	1794.55	3.62	1	3686400	100.00
357	1797.56	3.02	1	3686400	100.00
358	1801.00	3.43	1	3686400	100.00
359	1804.38	3.38	1	3686400	100.00
360	1807.73	3.35	1	3686400	100.00
361	1810.99	3.25	1	3686400	100.00
362	1815.52	4.53	1	3686400	100.00
363	1817.55	2.04	1	3686400	100.00
364	1821.00	3.44	1	3686400	100.00
365	1824.41	3.41	1	3686400	100.00
366	1827.75	3.34	1	3686400	100.00
367	1830.93	3.18	1	3686400	100.00
368	1834.37	3.45	1	3686400	100.00
369	1837.66	3.28	1	3686400	100.00
370	1841.03	3.37	1	3686400	100.00
371	1844.31	3.28	1	3686400	100.00
372	1847.86	3.55	1	3686400	100.00
373	1916.74	68.87	1	3686400	100.00
374	2090.33	173.60	1	3686400	100.00
375	2112.87	22.54	1	3686400	100.00
376	2115.43	2.56	1	3686400	100.00
377	2117.60	2.17	1	3686400	100.00
378	2121.17	3.57	1	3686400	100.00
379	2124.22	3.04	1	3686400	100.00
380	2127.66	3.44	1	3686400	100.00
381	2131.12	3.47	1	3686400	100.00
382	2134.55	3.43	1	3686400	100.00
383	2137.56	3.01	1	3686400	100.00
384	2140.98	3.42	1	3686400	100.00
385	2144.49	3.51	1	3686400	100.00
386	2147.66	3.17	1	3686400	100.00
387	2151.00	3.34	1	3686400	100.00
388	2154.51	3.51	1	3686400	100.00
389	2159.28	4.77	1	3686400	100.00
390	2160.98	1.70	1	3686400	100.00
391	2206.72	45.74	1	3686400	100.00
392	2211.20	4.48	1	3686400	100.00
393	2214.46	3.25	1	3686400	100.00
394	2217.76	3.30	1	3686400	100.00
395	2220.98	3.22	1	3686400	100.00
396	2224.45	3.47	1	3686400	100.00
397	2227.56	3.11	1	3686400	100.00
398	2231.11	3.55	1	3686400	100.00
399	2234.46	3.35	1	3686400	100.00
400	2237.68	3.22	1	3686400	100.00
401	2240.97	3.30	1	3686400	100.00
402	2244.49	3.52	1	3686400	100.00
403	2247.63	3.14	1	3686400	100.00
404	2251.13	3.50	1	3686400	100.00
405	2254.38	3.26	1	3686400	100.00
406	2257.67	3.28	1	3686400	100.00
407	2260.95	3.29	1	3686400	100.00
408	2264.47	3.52	1	3686400	100.00
409	2267.65	3.18	1	3686400	100.00
410	2271.00	3.35	1	3686400	100.00
411	2274.37	3.37	1	3686400	100.00
412	2277.89	3.52	1	3686400	100.00
413	2280.90	3.01	1	3686400	100.00
414	2284.52	3.62	1	3686400	100.00
415	2287.55	3.03	1	3686400	100.00
416	2291.00	3.45	1	3686400	100.00
417	2294.41	3.41	1	3686400	100.00
418	2297.82	3.40	1	3686400	100.00
419	2300.95	3.13	1	3686400	100.00
420	2304.52	3.57	1	3686400	100.00
421	2307.65	3.13	1	3686400	100.00
422	2311.07	3.42	1	3686400	100.00
423	2314.45	3.38	1	3686400	100.00
424	2317.88	3.43	1	3686400	100.00
425	2320.91	3.03	1	3686400	100.00
426	2324.50	3.60	1	3686400	100.00
427	2327.75	3.25	1	3686400	100.00
428	2331.08	3.34	1	3686400	100.00
429	2334.44	3.36	1	3686400	100.00
430	2337.86	3.41	1	3686400	100.00
431	2340.98	3.12	1	3686400	100.00
432	2344.51	3.53	1	3686400	100.00
433	2347.75	3.23	1	3686400	100.00
434	2351.03	3.28	1	3686400	100.00
435	2354.41	3.38	1	3686400	100.00
436	2357.82	3.42	1	3686400	100.00
437	2360.88	3.05	1	3686400	100.00
438	2364.43	3.55	1	3686400	100.00
439	2367.73	3.30	1	3686400	100.00
440	2371.00	3.27	1	3686400	100.00
441	2374.34	3.34	1	3686400	100.00
442	2377.79	3.45	1	3686400	100.00
443	2380.89	3.10	1	3686400	100.00
444	2384.45	3.56	1	3686400	100.00
445	2387.74	3.29	1	3686400	100.00
446	2391.00	3.26	1	3686400	100.00
447	2394.32	3.32	1	3686400	100.00
448	2397.81	3.49	1	3686400	100.00
449	2400.89	3.08	1	3686400	100.00
450	2404.42	3.53	1	3686400	100.00
451	2407.73	3.31	1	3686400	100.00
452	2411.00	3.26	1	3686400	100.00
453	2414.32	3.32	1	3686400	100.00
454	2417.84	3.52	1	3686400	100.00
455	2420.88	3.04	1	3686400	100.00
456	2424.45	3.57	1	3686400	100.00
457	2427.82	3.38	1	3686400	100.00
458	2431.04	3.21	1	3686400	100.00
459	2434.32	3.28	1	3686400	100.00
460	2437.81	3.49	1	3686400	100.00
461	2440.87	3.06	1	3686400	100.00
462	2444.36	3.49	1	3686400	100.00
463	2447.73	3.36	1	3686400	100.00
464	2451.16	3.44	1	3686400	100.00
465	2454.21	3.05	1	3686400	100.00
466	2457.83	3.62	1	3686400	100.00
467	2460.89	3.06	1	3686400	100.00
468	2464.34	3.45	1	3686400	100.00
