# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
176	957.61	3.26	0	0	0.00
177	981.15	23.54	0	0	0.00
178	984.13	2.98	0	0	0.00
179	1248.81	264.68	0	0	0.00
180	1252.65	3.84	0	0	0.00
181	1262.84	10.18	0	0	0.00
182	1264.81	1.98	0	0	0.00
183	1267.40	2.59	0	0	0.00
184	1270.77	3.37	0	0	0.00
185	1274.17	3.40	0	0	0.00
186	1277.43	3.26	0	0	0.00
187	1280.80	3.37	0	0	0.00
188	1284.22	3.42	0	0	0.00
189	1287.40	3.18	0	0	0.00
190	1290.83	3.43	0	0	0.00
191	1294.13	3.31	0	0	0.00
192	1297.45	3.32	0	0	0.00
193	1343.35	45.90	0	0	0.00
194	1346.18	2.83	0	0	0.00
195	1347.91	1.73	0	0	0.00
196	1350.81	2.90	0	0	0.00
197	1354.18	3.37	0	0	0.00
198	1357.40	3.22	0	0	0.00
199	1360.74	3.34	0	0	0.00
200	1364.21	3.47	0	0	0.00
201	1367.39	3.18	0	0	0.00
202	1370.78	3.38	0	0	0.00
203	1374.21	3.43	0	0	0.00
204	1377.49	3.28	0	0	0.00
205	1380.74	3.25	0	0	0.00
206	1384.19	3.46	0	0	0.00
207	1387.44	3.25	0	0	0.00
208	1390.74	3.30	0	0	0.00
209	1394.14	3.40	0	0	0.00
210	1397.48	3.34	0	0	0.00
211	1400.70	3.22	0	0	0.00
212	1404.08	3.39	0	0	0.00
213	1407.43	3.34	0	0	0.00
214	1410.76	3.34	0	0	0.00
215	1414.13	3.36	0	0	0.00
216	1417.38	3.26	0	0	0.00
217	1420.71	3.32	0	0	0.00
218	1424.18	3.48	0	0	0.00
219	1427.43	3.24	0	0	0.00
220	1430.76	3.33	0	0	0.00
221	1434.09	3.33	0	0	0.00
222	1437.44	3.35	0	0	0.00
223	1440.72	3.27	0	0	0.00
224	1444.17	3.45	0	0	0.00
225	1447.44	3.27	0	0	0.00
226	1450.70	3.25	0	0	0.00
227	1454.08	3.38	0	0	0.00
228	1457.53	3.45	0	0	0.00
229	1460.73	3.20	0	0	0.00
230	1464.20	3.46	0	0	0.00
231	1467.49	3.29	0	0	0.00
232	1470.69	3.21	0	0	0.00
233	1474.11	3.41	0	0	0.00
234	1477.54	3.43	0	0	0.00
235	1480.70	3.16	0	0	0.00
